PROVEEDORES,MODELOS,CATEGORIAS,CALIDADES,AGNOS,TEMPORADAS,EPISODIOS
WILD,Premium,DOCUMENTAL,HD,2020,Temporada 01,1
SPACE,Arriendo,DRAMA,SD,2019,Temporada 02,2
NATIONAL GEOGRAPHIC,Suscripcion,ACCIÓN,,2018,Temporada 03,3
FOX PREMIUM,Gratis,TERROR,,2017,Temporada 04,4
WARNER,,COMEDIA,,2016,Temporada 05,5
TNT,,CIENCIA FICCIÓN,,2015,Temporada 06,6
CARTOON NETWORK,,ROMANCE,,2014,Temporada 07,7
NICKELODEON,,FAMILIARES,,2013,Temporada 08,8
HBO,,INFANTIL,,2012,Temporada 09,9
BOOMERANG,,,,2011,Temporada 10,10
AXN,,,,2010,Temporada 11,11
A&E,,,,2009,Temporada 12,12
,,,,2008,Temporada 13,13
,,,,2007,Temporada 14,14
,,,,2006,Temporada 15,15
,,,,2005,Temporada 16,16
,,,,2004,Temporada 17,17
,,,,2003,Temporada 18,18
,,,,2002,Temporada 19,19
,,,,2001,Temporada 20,20
,,,,2000,,21
,,,,1999,,22
,,,,1998,,23
,,,,1997,,24
,,,,1996,,25
,,,,1995,,26
,,,,1994,,27
,,,,1993,,28
,,,,1992,,29
,,,,1991,,30
,,,,1990,,31
,,,,1989,,32
,,,,1988,,33
,,,,1987,,34
,,,,1986,,35
,,,,1985,,36
,,,,1984,,37
,,,,1983,,38
,,,,1982,,39
,,,,1981,,40
,,,,1980,,41
,,,,,,42
,,,,,,43
,,,,,,44
,,,,,,45
,,,,,,46
,,,,,,47
,,,,,,48
,,,,,,49
,,,,,,50
